client_idx,global_round,bw_up_mbps,bw_down_mbps,rtt_ms,comm_time
0,1,10.60031625544294,16.60083972590334,36.58350576515851,6.844084061205038
0,2,11.544683953483737,15.096902808424591,37.04600587233997,6.768972790509849
0,3,11.717291362045186,17.48839779886653,35.45196389126386,6.312268136069551
0,4,13.167134384997896,19.8879119424029,39.19881389260385,5.598324811461844
0,5,13.15808373514976,18.55074447936873,38.264167265342984,5.759309744043489
0,6,13.296970956924149,19.79914572239987,37.03724254682397,5.573432276318931
0,7,13.26692333055227,22.22707361645645,41.02888850226663,5.341953209451839
0,8,12.022227615765805,20.307376935485483,39.85160960874015,5.871761699874677
0,9,11.631488747931408,21.10209880186909,40.62193075951398,5.913917441068153
0,10,12.679345400356613,19.448976202400306,41.52292791170968,5.779299917156189
0,11,12.49290898235256,17.67615090580484,42.07284577487765,6.05879150338137
0,12,12.456794491875787,16.4242979184251,44.93609981175506,6.2617763265194295
0,13,12.109524552913415,14.078666544058649,39.64190866269252,6.804615260746678
0,14,11.572014159000972,17.70765507797889,42.158528006167984,6.334979258200326
0,15,13.078253603215067,18.376803431053233,45.134831007095876,5.809081530803937
0,16,13.980136835564782,20.474019929429904,45.78776544933325,5.347013348458322
0,17,13.288591724147565,20.221448766720552,46.90839959355665,5.538938772843557
0,18,11.88175900476541,20.580467619550436,40.733481537854296,5.887173941449784
0,19,13.073832602202426,20.247228201445008,37.92303871405444,5.581620548503472
0,20,12.899136772109935,20.569095705187493,41.067137010737966,5.596349449194182
0,21,13.907995632419713,20.995937232639236,39.80542168567945,5.303900889884236
0,22,15.016127831183525,21.390656136687397,42.64916424525465,5.03436043868426
0,23,14.578574172869242,17.76137078918989,41.56898661147793,5.542002868307997
0,24,13.717355915226433,15.006441637104919,41.6435730584303,6.186941324714231
0,25,14.676094185473385,14.00795693651615,43.516795654175105,6.1882694144165225
0,26,13.416651624766045,14.830969788616049,47.45372604465198,6.299431053050316
0,27,13.185335699758145,15.84192467847511,46.7369885741708,6.1668031448416984
0,28,13.040979761381664,19.480561017648167,42.38083575449681,5.680167472993436
0,29,12.951499256051058,22.137096998690026,38.131944810129674,5.427954717302333
0,30,12.515324209817152,23.466347177165847,32.44024431580627,5.428079931965376
0,31,13.091150483776612,24.186982316034676,29.288950912552487,5.214230353540248
0,32,12.783730532828173,23.115571792115517,28.275630605707157,5.378511933352108
0,33,14.635061696921916,23.82777653148219,29.64158122097118,4.887137629204151
0,34,12.526992851397583,20.955366699829817,24.9119759336836,5.642154369994767
0,35,12.25998800644627,19.691960136371517,29.78020644355398,5.858424510600318
0,36,11.9555561807034,20.52130219593742,34.96696577707674,5.864697953063936
0,37,10.880716638906007,21.713115638151855,31.807046884696202,6.107628240389969
0,38,11.062998690526635,21.973850162405842,27.49711855885101,6.012561139412002
0,39,11.028423579347606,24.547685192222737,24.013604388441653,5.811415800003376
0,40,10.179834133659787,22.302122444039746,25.430080655962357,6.3263576514719
0,41,10.212445033134829,20.950427486358905,24.474575181970188,6.438993129715908
